Table S3. Weighted sum activation thresholds.,,,
Diameter,Pulse Duration,Ve,MDF Output
12,0.02,150,8893.7
12,0.02,175,9014.8
12,0.02,200,9100.9
12,0.02,225,9121.3
12,0.02,250,9198.3
12,0.02,275,9185.5
12,0.02,300,9197.5
12,0.02,325,9143.6
12,0.02,350,9156.3
12,0.02,375,9125.7
12,0.02,400,9053.9
12,0.02,425,8943
12,0.02,450,8956.8
12,0.02,475,8949.9
12,0.02,500,8923.8
12,0.05,0,3205.5
12,0.05,25,4442.9
12,0.05,50,5493.7
12,0.05,75,6176.6
12,0.05,100,6617.2
12,0.05,125,6837.9
12,0.05,150,7098.9
12,0.05,175,7098.7
12,0.05,200,7218.5
12,0.05,225,7197.8
12,0.05,250,7298.4
12,0.05,275,7326.9
12,0.05,300,7594.3
12,0.05,325,7519.2
12,0.05,350,7383.1
12,0.05,375,7569.6
12,0.05,400,7347.6
12,0.05,425,7497.6
12,0.05,450,7638.6
12,0.05,475,7771
12,0.05,500,7430.7
12,0.1,0,2015.9
12,0.1,25,3475.3
12,0.1,50,4397.6
12,0.1,75,4881.4
12,0.1,100,5046.3
12,0.1,125,5336
12,0.1,150,5348.1
12,0.1,175,5433.4
12,0.1,200,5782.7
12,0.1,225,5653.5
12,0.1,250,5908
12,0.1,275,6140.1
12,0.1,300,5770.4
12,0.1,325,5938.3
12,0.1,350,6093.9
12,0.1,375,6237.8
12,0.1,400,6371.7
12,0.1,425,6496.5
12,0.1,450,6613.3
12,0.1,475,6723
12,0.1,500,5987.2
12,0.2,0,1432.1
12,0.2,25,2804.8
12,0.2,50,3335.3
12,0.2,75,3683.4
12,0.2,100,3780.4
12,0.2,125,4262.9
12,0.2,150,4181
12,0.2,175,4493.6
12,0.2,200,4771.6
12,0.2,225,5021.4
12,0.2,250,5246.6
12,0.2,275,4552.8
12,0.2,300,4691.6
12,0.2,325,4817.9
12,0.2,350,4933.1
12,0.2,375,5040.7
12,0.2,400,5137.3
12,0.2,425,5228.9
12,0.2,450,5312.6
12,0.2,475,5391.5
12,0.2,500,5464.1
12,0.5,0,1156.5
12,0.5,25,2164.1
12,0.5,50,2470.8
12,0.5,75,2834.2
12,0.5,100,3339.4
12,0.5,125,3082.3
12,0.5,150,3351.9
12,0.5,175,3586.3
12,0.5,200,3786.5
12,0.5,225,3965.1
12,0.5,250,4121.2
12,0.5,275,4262.7
12,0.5,300,4386.6
12,0.5,325,4502.1
12,0.5,350,4604.2
12,0.5,375,4699.1
12,0.5,400,4787.5
12,0.5,425,4864.3
12,0.5,450,4938.7
12,0.5,475,5005.8
12,0.5,500,5069.1
12,1,0,1092.3
12,1,25,1861.1
12,1,50,2248.1
12,1,75,2423.1
12,1,100,2827
12,1,125,3162
12,1,150,3444.9
12,1,175,3691.6
12,1,200,3902.6
12,1,225,4091.1
12,1,250,4256.1
12,1,275,4405.8
12,1,300,4536.9
12,1,325,4659.4
12,1,350,4767.5
12,1,375,4868.3
12,1,400,4962.2
12,1,425,5043.6
12,1,450,5122.6
12,1,475,5194
12,1,500,5261.3
12,2,0,1091.9
12,2,25,1780
12,2,50,1923
12,2,75,2427.9
12,2,100,2833.2
12,2,125,3169.4
12,2,150,3453.5
12,2,175,3701.2
12,2,200,3913.1
12,2,225,4102.5
12,2,250,2639.3
12,2,275,2699.2
12,2,300,2752.9
12,2,325,2798.8
12,2,350,2840.9
12,2,375,2878.1
12,2,400,2912.2
12,2,425,2943.3
12,2,450,2970
12,2,475,2995.9
12,2,500,3017.4
14,0.02,0,4903.8
14,0.02,25,5364.8
14,0.02,50,5798.5
14,0.02,75,6214.3
14,0.02,100,6495.5
14,0.02,125,6722.7
14,0.02,150,6886.5
14,0.02,175,6980.4
14,0.02,200,7041.5
14,0.02,225,7046.5
14,0.02,250,7094.9
14,0.02,275,7069
14,0.02,300,7062.5
14,0.02,325,7000.7
14,0.02,350,6994.2
14,0.02,375,6951.8
14,0.02,400,6875
14,0.02,425,6894.7
14,0.02,450,6896.7
14,0.02,475,6881.3
14,0.02,500,6850.2
14,0.05,0,2445.6
14,0.05,25,3419.2
14,0.05,50,4259.4
14,0.05,75,4782.1
14,0.05,100,5123.8
14,0.05,125,5277.7
14,0.05,150,5459.1
14,0.05,175,5556.3
14,0.05,200,5643.9
14,0.05,225,5615.6
14,0.05,250,5686.1
14,0.05,275,5697.7
14,0.05,300,5652.9
14,0.05,325,5834.1
14,0.05,350,5709.5
14,0.05,375,5854.7
14,0.05,400,5658.2
14,0.05,425,5774.2
14,0.05,450,5882.9
14,0.05,475,5985.4
14,0.05,500,5690.7
14,0.1,0,1548.4
14,0.1,25,2692.3
14,0.1,50,3412.4
14,0.1,75,3710.5
14,0.1,100,3887.7
14,0.1,125,4087.8
14,0.1,150,4292.9
14,0.1,175,4376.3
14,0.1,200,4342.3
14,0.1,225,4576.6
14,0.1,250,4375.7
14,0.1,275,4544
14,0.1,300,4699.2
14,0.1,325,4841.1
14,0.1,350,4972.9
14,0.1,375,4512.5
14,0.1,400,4605.2
14,0.1,425,4692
14,0.1,450,4773.3
14,0.1,475,4848.7
14,0.1,500,4919.7
14,0.2,0,1129.4
14,0.2,25,2182.8
14,0.2,50,2550.6
14,0.2,75,2760.1
14,0.2,100,3029.3
14,0.2,125,3083.3
14,0.2,150,3380.1
14,0.2,175,3641.1
14,0.2,200,3293.8
14,0.2,225,3454.5
14,0.2,250,3598.7
14,0.2,275,3728.7
14,0.2,300,3846.8
14,0.2,325,3954.5
14,0.2,350,4052.8
14,0.2,375,4144.8
14,0.2,400,4227.5
14,0.2,425,4306
14,0.2,450,4377.7
14,0.2,475,4445.4
14,0.2,500,4507.8
14,0.5,0,907.1
14,0.5,25,1654.9
14,0.5,50,1969
14,0.5,75,2280.2
14,0.5,100,2245.8
14,0.5,125,2514.2
14,0.5,150,2741
14,0.5,175,2938.9
14,0.5,200,3108.2
14,0.5,225,3259.5
14,0.5,250,3391.9
14,0.5,275,3512
14,0.5,300,3617.4
14,0.5,325,3715.7
14,0.5,350,3802.5
14,0.5,375,3883.5
14,0.5,400,3958.9
14,0.5,425,4024.2
14,0.5,450,4087.8
14,0.5,475,4145.1
14,0.5,500,4199.2
14,1,0,858.6
14,1,25,1464.2
14,1,50,1798.9
14,1,75,1962.1
14,1,100,2298.9
14,1,125,2579.6
14,1,150,2817.5
14,1,175,3025.4
14,1,200,3203.6
14,1,225,3363.1
14,1,250,3502.8
14,1,275,2229.6
14,1,300,2275.1
14,1,325,2314.1
14,1,350,2349.8
14,1,375,2381.5
14,1,400,2410.5
14,1,425,2436.9
14,1,450,2459.5
14,1,475,2481.6
14,1,500,2499.8
14,2,0,858.3
14,2,25,1402.2
14,2,50,1547.5
14,2,75,1965.7
14,2,100,2303.7
14,2,125,2585.4
14,2,150,2824.1
14,2,175,1974.9
14,2,200,2056.4
14,2,225,2124.9
14,2,250,2185.3
14,2,275,2236.4
14,2,300,2282.2
14,2,325,2321.3
14,2,350,2357.2
14,2,375,2389
14,2,400,2418.1
14,2,425,2444.7
14,2,450,2467.4
14,2,475,2489.6
14,2,500,2507.9
16,0.02,0,3866.9
16,0.02,25,4257.2
16,0.02,50,4647.4
16,0.02,75,4972.6
16,0.02,100,5197
16,0.02,125,5393.3
16,0.02,150,5495.7
16,0.02,175,5566.7
16,0.02,200,5606.7
16,0.02,225,5654.3
16,0.02,250,5622.7
16,0.02,275,5655.8
16,0.02,300,5640.5
16,0.02,325,5577.6
16,0.02,350,5561.6
16,0.02,375,5514.9
16,0.02,400,5543.7
16,0.02,425,5445.6
16,0.02,450,5437.2
16,0.02,475,5414.4
16,0.02,500,5378.1
16,0.05,0,1933.7
16,0.05,25,2738.3
16,0.05,50,3412.3
16,0.05,75,3852.1
16,0.05,100,4090.4
16,0.05,125,4261.9
16,0.05,150,4315.1
16,0.05,175,4363.1
16,0.05,200,4402.6
16,0.05,225,4504
16,0.05,250,4552
16,0.05,275,4549.6
16,0.05,300,4499.2
16,0.05,325,4643.8
16,0.05,350,4525.1
16,0.05,375,4640.2
16,0.05,400,4747.5
16,0.05,425,4550.7
16,0.05,450,4636.2
16,0.05,475,4716.4
16,0.05,500,4792.2
16,0.1,0,1246.5
16,0.1,25,2156.3
16,0.1,50,2704.5
16,0.1,75,2964.5
16,0.1,100,3081.2
16,0.1,125,3215
16,0.1,150,3355.2
16,0.1,175,3390.3
16,0.1,200,3612.1
16,0.1,225,3497.4
16,0.1,250,3656.8
16,0.1,275,3802
16,0.1,300,3513.9
16,0.1,325,3616.4
16,0.1,350,3710.8
16,0.1,375,3798.6
16,0.1,400,3879.6
16,0.1,425,3955.6
16,0.1,450,4026.8
16,0.1,475,4092.9
16,0.1,500,4155.3
16,0.2,0,909
16,0.2,25,1755.4
16,0.2,50,2008.2
16,0.2,75,2267
16,0.2,100,2501.6
