Table S1. Weights for nodal sum method.,,,,,,,,,,,
Diameter = 4.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.474272,0.212337,0.091585,0.038483,0.015861,0.006442,0.00259,0.001041,0.000442,0.000254
0.02,1,0.593719,0.333058,0.178074,0.091469,0.045441,0.021962,0.010396,0.004898,0.002444,0.001596
0.05,1,0.726534,0.515616,0.357228,0.24163,0.159748,0.103571,0.066436,0.043158,0.030031,0.024756
0.1,1,0.780888,0.603685,0.461983,0.350224,0.263605,0.198032,0.150106,0.117125,0.097099,0.088758
0.2,1,0.815843,0.664513,0.540985,0.441119,0.361535,0.299507,0.252889,0.220052,0.199843,0.191553
0.5,1,0.839702,0.707767,0.599858,0.512429,0.442607,0.388098,0.347112,0.318303,0.300726,0.293806
1,1,0.843246,0.71423,0.608715,0.523235,0.454981,0.401712,0.361678,0.333564,0.316446,0.309761
2,1,0.843517,0.714713,0.609362,0.524008,0.455851,0.402654,0.362673,0.334595,0.317499,0.310825
5,1,0.843825,0.715241,0.610043,0.524794,0.456706,0.403553,0.363597,0.335532,0.318441,0.311765
Diameter = 19.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.480378,0.218112,0.095468,0.040724,0.017044,0.007031,0.002871,0.001174,0.000508,0.000297
0.02,1,0.599139,0.339718,0.183814,0.095635,0.048156,0.023603,0.011339,0.005428,0.002756,0.001825
0.05,1,0.730452,0.521604,0.363913,0.24809,0.165461,0.108332,0.070265,0.046222,0.03258,0.02708
0.1,1,0.784116,0.608948,0.468379,0.357097,0.270511,0.204709,0.156439,0.123118,0.102839,0.094389
0.2,1,0.818738,0.669416,0.547233,0.448228,0.369162,0.30742,0.260942,0.228164,0.207978,0.199704
0.5,1,0.842459,0.712495,0.605971,0.519493,0.450308,0.396213,0.355487,0.326834,0.309344,0.302461
1,1,0.845971,0.718909,0.614768,0.530235,0.462617,0.409764,0.369991,0.342034,0.325002,0.318353
2,1,0.846237,0.719382,0.615404,0.530996,0.463474,0.410692,0.370973,0.343052,0.326043,0.319404
5,1,0.846534,0.719892,0.616064,0.531759,0.464307,0.41157,0.371877,0.343971,0.326967,0.320327
Diameter = 20.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.486199,0.223694,0.099276,0.042955,0.018239,0.007635,0.003165,0.001314,0.000578,0.000343
0.02,1,0.604281,0.346101,0.189378,0.099724,0.050856,0.025258,0.012303,0.005978,0.003086,0.002071
0.05,1,0.734162,0.527302,0.370313,0.254321,0.171019,0.113008,0.074069,0.049304,0.035171,0.029457
0.1,1,0.787177,0.613961,0.474499,0.36371,0.277198,0.211217,0.162655,0.129035,0.108533,0.099986
0.2,1,0.821492,0.674097,0.553221,0.455066,0.376523,0.315083,0.268764,0.236062,0.21591,0.207655
0.5,1,0.845082,0.717008,0.611822,0.526272,0.457715,0.404035,0.363574,0.335082,0.317681,0.310837
1,1,0.848565,0.723375,0.620562,0.536952,0.469962,0.417523,0.378017,0.350221,0.333279,0.326667
2,1,0.848825,0.723839,0.621186,0.5377,0.470806,0.41844,0.378986,0.351227,0.334308,0.327706
5,1,0.849112,0.724333,0.621828,0.538444,0.471619,0.419298,0.379872,0.352129,0.335216,0.328613
